material,temperature,ph,co2_pressure,h2s_concentration,flow_rate,chloride_content,corrosion_rate,risk_level
stainless_316,65.1,3.86,0.915,112.7,6.15,3375.0,0.1017,medium
carbon_steel,32.9,5.23,2.631,125.5,6.27,25935.0,0.3075,medium
carbon_steel,115.4,6.47,3.548,425.3,5.44,8968.0,6.928,severe
carbon_steel,80.6,7.85,0.543,280.6,6.25,48534.0,0.7265,high
carbon_steel,42.9,5.25,2.841,261.7,6.84,5665.0,0.5221,high
duplex_2205,87.2,6.94,1.29,57.4,5.1,20180.0,0.0528,low
carbon_steel,81.8,8.37,4.815,430.1,1.16,36894.0,2.3305,severe
stainless_316,55.8,6.89,2.423,361.4,4.16,35228.0,0.042,low
carbon_steel,31.4,4.78,4.032,33.8,1.08,21136.0,0.2957,medium
stainless_316,87.2,3.63,2.756,353.9,3.56,17326.0,0.5062,high
stainless_316,72.0,8.29,0.227,271.8,3.55,19881.0,0.0156,low
carbon_steel,97.2,3.62,3.169,40.9,1.0,13214.0,6.5482,severe
duplex_2205,72.0,8.31,4.758,229.2,3.12,10267.0,0.0616,low
alloy_825,105.2,6.41,3.012,242.3,1.33,24152.0,0.0747,low
duplex_2205,75.2,8.66,4.098,82.9,6.56,13427.0,0.085,low
alloy_825,76.1,7.89,4.422,472.8,7.61,14373.0,0.0616,low
stainless_316,107.7,8.99,1.148,425.0,1.04,32838.0,0.1939,medium
duplex_2205,60.3,5.43,1.068,334.5,7.66,48427.0,0.0362,low
carbon_steel,33.4,7.72,3.059,231.1,4.42,30182.0,0.2021,medium
carbon_steel,22.9,5.71,2.061,205.9,2.75,3849.0,0.0953,low
carbon_steel,95.5,6.14,4.201,325.5,1.08,3779.0,2.4589,severe
carbon_steel,82.0,6.95,4.501,272.7,4.25,47571.0,2.2823,severe
carbon_steel,90.4,8.31,1.774,31.1,6.46,14865.0,1.6413,severe
carbon_steel,41.3,8.91,1.192,256.3,5.8,4603.0,0.1884,medium
alloy_825,33.6,7.73,3.905,403.2,0.88,29952.0,0.005,low
carbon_steel,21.5,5.8,1.381,229.6,1.05,31182.0,0.0708,low
carbon_steel,55.1,5.82,4.115,26.0,3.52,32425.0,0.5589,high
stainless_316,79.0,7.56,2.124,393.1,2.71,13370.0,0.1035,medium
carbon_steel,59.2,4.81,3.341,100.7,2.24,756.0,0.8554,high
alloy_825,63.7,4.11,0.487,129.3,2.61,48251.0,0.0117,low
carbon_steel,110.4,5.45,3.123,82.4,6.53,12545.0,8.6623,severe
duplex_2205,54.8,5.08,2.264,165.1,7.47,33801.0,0.0532,low
alloy_825,71.4,5.13,2.937,378.4,3.54,35331.0,0.0399,low
carbon_steel,98.4,4.78,0.848,259.7,7.3,30500.0,3.7648,severe
carbon_steel,59.7,3.73,3.687,102.4,2.91,15645.0,1.5317,severe
alloy_825,82.2,3.6,4.315,438.9,4.07,13555.0,0.1781,medium
stainless_316,106.2,8.93,1.092,439.8,2.2,29883.0,0.2218,medium
stainless_316,115.0,5.85,0.488,435.3,5.3,43305.0,0.2381,medium
alloy_825,34.7,5.61,0.128,119.4,7.84,47337.0,0.0012,low
carbon_steel,112.7,7.24,3.213,225.6,5.03,5295.0,5.4789,severe
carbon_steel,69.2,4.7,3.039,492.5,3.18,7741.0,1.8292,severe
carbon_steel,45.8,8.72,2.738,386.0,5.36,47237.0,0.4245,medium
alloy_825,65.9,7.82,1.167,13.6,1.42,36827.0,0.0079,low
stainless_316,118.0,3.99,1.961,32.6,7.16,44150.0,1.7552,severe
carbon_steel,69.3,5.8,2.976,232.0,4.27,10132.0,0.9473,high
carbon_steel,52.9,8.34,2.489,454.6,3.87,29379.0,0.4686,medium
carbon_steel,83.3,8.7,4.939,269.4,4.89,35057.0,2.6105,severe
carbon_steel,44.0,6.07,0.691,248.9,5.19,34006.0,0.1307,medium
stainless_316,27.6,6.87,3.479,52.7,1.04,20408.0,0.0131,low
stainless_316,32.9,4.42,2.028,328.4,5.62,770.0,0.0425,low
alloy_825,32.8,8.95,2.147,411.1,2.31,29146.0,0.0033,low
carbon_steel,35.2,4.77,3.591,190.2,5.85,12655.0,0.5059,high
carbon_steel,33.9,8.69,3.465,387.8,6.67,22513.0,0.3676,medium
stainless_316,84.1,7.07,4.956,482.2,6.53,47879.0,0.3464,medium
alloy_825,38.2,6.84,0.651,101.9,4.64,19952.0,0.0022,low
stainless_316,54.6,6.32,0.53,261.7,4.4,41990.0,0.0166,low
alloy_825,109.7,4.77,3.624,143.6,1.57,9427.0,0.1979,medium
carbon_steel,67.4,4.47,2.896,396.4,6.32,33623.0,2.6414,severe
stainless_316,86.8,4.71,1.378,288.8,2.54,48850.0,0.2025,medium
carbon_steel,37.2,4.53,0.406,317.3,4.23,5095.0,0.1352,medium
carbon_steel,39.2,7.79,0.437,399.0,2.63,416.0,0.0578,low
carbon_steel,24.1,5.43,4.472,198.0,1.5,21679.0,0.2247,medium
carbon_steel,36.9,3.82,0.967,457.5,5.22,4631.0,0.3175,medium
stainless_316,47.9,8.83,1.624,266.5,0.91,37419.0,0.0223,low
carbon_steel,37.7,8.36,1.141,79.0,6.11,45727.0,0.1423,medium
stainless_316,28.9,8.6,1.781,347.9,2.88,21701.0,0.0099,low
duplex_2205,32.1,8.97,0.356,396.6,0.5,12936.0,0.0019,low
carbon_steel,66.1,4.46,2.6,158.4,4.33,21720.0,1.3663,severe
carbon_steel,40.6,5.68,0.347,428.6,0.85,36172.0,0.0871,low
alloy_825,56.4,7.67,4.004,453.1,2.57,453.0,0.0123,low
carbon_steel,70.3,7.33,1.176,138.5,5.8,29473.0,0.6596,high
carbon_steel,89.0,4.35,2.705,491.8,0.97,30665.0,5.1428,severe
carbon_steel,23.9,7.99,4.402,70.4,6.8,31884.0,0.2235,medium
carbon_steel,99.9,4.73,3.258,101.0,0.53,12101.0,4.6243,severe
duplex_2205,82.8,4.73,2.669,92.1,2.35,35703.0,0.1195,medium
alloy_825,28.2,6.45,1.628,447.0,6.06,4570.0,0.0038,low
stainless_316,107.4,6.76,1.672,327.1,2.87,9964.0,0.2323,medium
alloy_825,112.1,6.69,3.351,76.1,1.26,43874.0,0.0987,low
alloy_825,26.1,4.0,4.971,220.2,3.2,36936.0,0.0125,low
carbon_steel,47.7,8.33,3.313,307.6,2.53,687.0,0.3434,medium
alloy_825,100.6,4.96,2.793,41.7,6.82,12419.0,0.1807,medium
stainless_316,94.8,4.21,3.656,441.2,2.85,10720.0,0.5945,high
alloy_825,38.5,8.39,2.331,401.8,6.42,13540.0,0.0075,low
alloy_825,40.9,8.76,0.31,252.6,7.19,12378.0,0.0019,low
carbon_steel,57.0,8.24,2.816,483.6,3.75,3126.0,0.443,medium
carbon_steel,68.5,7.95,4.789,208.9,7.32,22947.0,1.7962,severe
carbon_steel,81.8,7.1,0.885,492.1,3.33,36637.0,0.6745,high
carbon_steel,56.9,6.53,3.453,334.0,7.73,30337.0,0.8111,high
alloy_825,66.3,3.98,1.013,317.3,1.17,33644.0,0.0191,low
alloy_825,94.7,5.75,2.684,83.0,5.65,4057.0,0.083,low
carbon_steel,23.7,5.55,0.492,441.0,4.2,47575.0,0.0711,low
stainless_316,45.2,4.93,2.257,213.7,3.41,41925.0,0.0497,low
carbon_steel,91.3,7.48,3.783,81.1,5.25,40255.0,3.2067,severe
carbon_steel,109.5,6.23,1.744,6.3,5.78,41149.0,3.2072,severe
carbon_steel,71.2,3.95,3.328,279.9,0.53,46636.0,2.5649,severe
carbon_steel,73.2,4.71,3.979,263.7,1.75,27213.0,2.187,severe
duplex_2205,30.7,7.26,4.637,359.7,5.85,10014.0,0.0131,low
carbon_steel,64.7,3.92,1.181,445.1,5.5,30839.0,1.3572,severe
stainless_316,73.3,8.18,2.003,39.7,7.75,37144.0,0.1259,medium
stainless_316,44.2,6.22,0.771,365.7,6.21,36896.0,0.0154,low
carbon_steel,46.9,6.14,4.962,93.7,7.63,26072.0,0.618,high
duplex_2205,57.7,6.76,4.636,429.1,5.77,3423.0,0.0392,low
duplex_2205,22.0,8.04,2.704,409.5,2.74,18556.0,0.0048,low
carbon_steel,52.2,5.41,4.212,270.4,1.29,46038.0,0.8287,high
carbon_steel,41.1,7.23,2.61,355.1,6.36,29222.0,0.3491,medium
carbon_steel,52.7,6.61,3.122,157.2,5.33,26917.0,0.4934,medium
carbon_steel,32.0,4.97,0.455,235.6,0.86,13443.0,0.0871,low
carbon_steel,109.1,8.33,3.779,410.8,3.2,18422.0,4.4103,severe
stainless_316,79.4,7.89,0.647,229.6,7.68,44767.0,0.0776,low
stainless_316,87.9,7.12,4.132,178.9,4.25,33323.0,0.2471,medium
carbon_steel,98.9,8.18,3.912,247.1,3.75,39369.0,3.8275,severe
carbon_steel,69.8,8.27,3.547,414.1,3.93,22717.0,1.2423,severe
duplex_2205,28.7,7.4,0.19,167.6,2.07,31512.0,0.0012,low
carbon_steel,73.7,8.1,1.523,86.9,3.27,12419.0,0.5249,high
carbon_steel,78.7,7.34,1.323,356.0,3.27,35273.0,0.8473,high
carbon_steel,94.5,7.24,1.807,413.0,0.89,21380.0,1.5476,severe
duplex_2205,63.2,6.9,0.447,50.3,6.26,22127.0,0.0091,low
carbon_steel,32.8,7.64,4.685,119.9,3.62,32466.0,0.219,medium
stainless_316,48.4,4.37,2.773,71.0,6.67,46814.0,0.1004,medium
alloy_825,56.3,8.34,1.535,174.0,6.88,3200.0,0.0096,low
carbon_steel,84.6,8.3,1.991,225.2,2.09,41237.0,1.2385,severe
stainless_316,77.1,3.66,2.242,374.4,5.43,14619.0,0.4051,medium
carbon_steel,55.6,8.04,3.007,325.6,4.04,22196.0,0.4983,medium
stainless_316,118.7,4.21,2.583,310.5,7.1,1096.0,1.8063,severe
stainless_316,80.6,5.34,4.598,176.2,2.12,15052.0,0.207,medium
stainless_316,43.7,7.59,2.49,420.7,5.58,25132.0,0.0305,low
carbon_steel,30.2,4.38,4.961,235.6,5.06,2809.0,0.5942,high
alloy_825,35.3,8.0,4.259,489.6,2.71,24555.0,0.0066,low
carbon_steel,44.6,8.08,1.05,317.1,1.52,46356.0,0.1674,medium
carbon_steel,36.1,6.29,4.654,63.1,5.39,5270.0,0.2681,medium
carbon_steel,38.7,3.54,0.591,338.1,6.04,38222.0,0.2975,medium
stainless_316,48.5,5.08,4.089,162.6,2.87,20484.0,0.0632,low
stainless_316,37.3,6.89,1.909,343.2,5.34,32759.0,0.0204,low
carbon_steel,109.7,8.9,4.391,34.8,3.46,13012.0,4.0092,severe
stainless_316,28.0,6.97,4.342,87.4,5.85,7975.0,0.0233,low
carbon_steel,72.5,4.93,4.032,427.9,1.99,8023.0,1.8196,severe
stainless_316,61.0,6.99,3.952,113.6,7.18,3525.0,0.089,low
carbon_steel,118.2,6.47,1.53,418.5,2.66,9282.0,3.2465,severe
stainless_316,31.2,7.79,0.414,139.6,3.26,33211.0,0.0038,low
carbon_steel,59.8,4.09,2.021,321.4,0.94,44085.0,1.0058,severe
duplex_2205,116.9,7.69,0.876,347.1,1.34,40706.0,0.1351,medium
carbon_steel,106.6,6.48,3.478,256.3,4.37,34257.0,4.7221,severe
carbon_steel,101.7,8.8,1.737,152.7,2.51,5522.0,1.9464,severe
carbon_steel,45.8,5.38,4.878,106.3,6.77,14459.0,0.738,high
duplex_2205,37.1,6.98,3.208,16.6,0.61,15490.0,0.0098,low
alloy_825,86.9,8.63,4.114,152.0,3.34,12498.0,0.0449,low
carbon_steel,112.9,4.06,0.671,326.6,3.03,25750.0,4.5739,severe
stainless_316,75.7,8.65,4.311,469.2,0.64,26778.0,0.1497,medium
alloy_825,77.2,7.28,4.615,435.6,1.43,17844.0,0.0441,low
stainless_316,48.0,3.87,2.44,383.0,3.6,17689.0,0.081,low
stainless_316,96.9,5.16,3.035,394.2,4.2,41428.0,0.4881,medium
carbon_steel,38.7,7.39,3.826,332.5,3.53,39465.0,0.26,medium
carbon_steel,52.4,3.87,0.882,130.1,4.48,15390.0,0.5351,high
alloy_825,62.5,6.7,2.518,453.6,4.96,45689.0,0.0191,low
duplex_2205,70.8,5.4,1.999,335.4,0.57,47641.0,0.0566,low
stainless_316,44.2,6.92,0.74,280.2,3.98,16337.0,0.011,low
carbon_steel,31.5,3.75,1.844,55.5,7.73,17721.0,0.4646,medium
carbon_steel,81.1,8.29,0.35,223.5,4.39,25282.0,0.3156,medium
stainless_316,48.9,8.85,0.139,230.2,5.58,47056.0,0.007,low
alloy_825,78.1,8.83,0.684,432.3,2.84,43816.0,0.0131,low
alloy_825,35.4,7.62,4.816,273.3,6.3,5128.0,0.0104,low
alloy_825,68.1,4.22,2.752,190.2,6.3,19637.0,0.0549,low
stainless_316,73.3,7.67,4.829,488.4,4.41,27669.0,0.18,medium
carbon_steel,25.2,3.64,2.168,55.4,7.82,25157.0,0.4661,medium
carbon_steel,53.7,3.62,1.566,211.3,1.44,9693.0,0.6375,high
alloy_825,33.4,5.28,2.536,21.0,0.63,42941.0,0.0064,low
stainless_316,26.3,6.19,2.203,370.0,6.28,33847.0,0.0195,low
carbon_steel,119.0,7.74,0.537,459.0,6.55,41895.0,3.4693,severe
carbon_steel,52.2,7.26,3.208,140.0,1.4,42938.0,0.4144,medium
stainless_316,101.0,5.95,1.088,429.2,2.49,37418.0,0.1617,medium
carbon_steel,45.5,5.0,3.102,146.1,0.63,21961.0,0.4569,medium
carbon_steel,88.2,8.98,3.255,455.4,2.7,30527.0,2.3714,severe
stainless_316,96.0,5.84,0.769,377.0,6.3,8018.0,0.1375,medium
stainless_316,79.6,5.98,0.316,402.5,4.38,33682.0,0.0391,low
stainless_316,67.2,4.4,3.906,9.0,3.11,8963.0,0.1677,medium
carbon_steel,61.2,7.87,2.304,481.4,3.29,34697.0,0.545,high
stainless_316,54.9,7.32,0.3,363.3,0.51,11480.0,0.01,low
carbon_steel,113.0,4.71,4.974,152.4,2.75,5878.0,10.5253,severe
carbon_steel,103.1,3.95,0.298,414.7,5.35,8264.0,2.2956,severe
stainless_316,116.5,7.24,3.478,140.8,7.81,100.0,0.7139,high
stainless_316,32.4,7.1,4.919,436.4,6.85,35937.0,0.0414,low
alloy_825,93.1,5.0,1.204,56.3,0.68,36620.0,0.0451,low
stainless_316,113.8,8.73,0.72,351.8,7.24,25747.0,0.2895,medium
stainless_316,38.1,4.33,0.616,270.3,6.37,8068.0,0.027,low
carbon_steel,26.6,5.88,1.523,48.3,6.35,4178.0,0.1283,medium
carbon_steel,94.1,8.69,0.514,120.9,3.93,956.0,0.5972,high
carbon_steel,77.4,5.81,3.464,6.2,3.49,8287.0,1.192,severe
carbon_steel,104.2,7.01,0.321,234.4,2.77,44543.0,0.8697,high
duplex_2205,34.0,5.69,2.552,150.6,0.99,12077.0,0.0079,low
carbon_steel,99.5,5.01,4.984,299.2,2.21,17714.0,6.0227,severe
alloy_825,40.2,8.91,4.072,148.6,2.35,5267.0,0.0056,low
stainless_316,36.4,5.75,3.08,150.0,4.13,11118.0,0.0261,low
alloy_825,36.4,8.42,1.538,371.6,6.11,25961.0,0.0044,low
stainless_316,101.5,4.76,3.123,24.1,4.05,30388.0,0.7115,high
stainless_316,86.5,4.67,2.64,451.4,0.93,12268.0,0.3205,medium
carbon_steel,72.3,3.67,2.136,426.1,7.68,2887.0,3.4383,severe
carbon_steel,55.9,7.08,0.662,333.9,7.57,19552.0,0.2439,medium
stainless_316,107.7,5.53,4.434,296.6,6.39,11710.0,0.9628,high
carbon_steel,59.2,8.25,2.254,446.2,7.93,10978.0,0.7493,high
carbon_steel,101.7,6.1,0.981,92.7,4.58,47993.0,1.8497,severe
stainless_316,63.9,8.83,1.845,39.5,7.72,30815.0,0.0716,low
carbon_steel,57.7,4.52,2.077,119.8,1.07,27844.0,0.7395,high
duplex_2205,66.3,8.28,4.139,397.3,3.24,20789.0,0.0508,low
duplex_2205,50.1,7.77,3.671,17.3,2.19,21447.0,0.0185,low
duplex_2205,94.8,7.74,3.849,291.4,1.97,27045.0,0.1488,medium
carbon_steel,70.3,8.15,0.065,497.7,1.56,34821.0,0.0625,low
carbon_steel,43.2,7.69,2.087,427.8,5.17,35107.0,0.2615,medium
duplex_2205,110.0,6.94,2.412,260.7,6.36,8585.0,0.2242,medium
carbon_steel,58.4,4.22,0.106,31.8,4.84,25006.0,0.1408,medium
duplex_2205,74.4,3.68,1.306,415.7,1.6,20598.0,0.0824,low
duplex_2205,110.6,8.56,3.804,299.5,6.58,43526.0,0.3921,medium
alloy_825,82.4,6.89,0.694,57.5,5.27,31571.0,0.0178,low
carbon_steel,31.7,7.88,2.681,46.9,3.41,26625.0,0.1612,medium
carbon_steel,114.0,6.15,1.084,454.8,5.56,5770.0,3.7174,severe
alloy_825,82.8,4.15,0.07,334.6,2.45,30282.0,0.0071,low
carbon_steel,53.5,4.19,1.214,414.6,3.09,5860.0,0.5577,high
carbon_steel,33.9,7.27,4.88,439.5,7.38,16860.0,0.4078,medium
stainless_316,99.4,5.87,4.01,285.9,2.68,7142.0,0.3153,medium
duplex_2205,82.0,4.6,4.798,258.7,4.02,34604.0,0.2129,medium
stainless_316,73.3,6.2,2.444,215.2,7.18,10313.0,0.116,medium
stainless_316,109.4,3.85,0.558,158.5,5.81,19593.0,0.4475,medium
carbon_steel,98.9,6.7,2.744,217.3,0.97,44784.0,2.9017,severe
stainless_316,35.2,4.98,2.277,386.9,1.6,10216.0,0.0255,low
duplex_2205,51.2,7.89,4.223,301.0,0.56,25390.0,0.0245,low
carbon_steel,44.8,5.21,0.499,446.3,5.23,20964.0,0.2,medium
stainless_316,94.4,6.0,2.446,221.7,3.86,906.0,0.1855,medium
alloy_825,23.4,3.56,0.759,303.5,1.51,39638.0,0.0036,low
stainless_316,77.0,3.9,1.63,315.7,7.68,3452.0,0.2957,medium
stainless_316,96.2,5.66,3.689,295.8,4.47,23713.0,0.4504,medium
stainless_316,107.7,6.14,2.385,351.3,2.31,28034.0,0.3295,medium
carbon_steel,54.2,6.8,1.886,118.7,4.25,31421.0,0.2956,medium
carbon_steel,102.1,5.1,1.978,256.2,5.6,34432.0,4.9825,severe
alloy_825,31.1,7.32,2.303,52.1,1.07,12664.0,0.0029,low
alloy_825,104.6,8.23,3.927,192.3,2.56,499.0,0.0978,low
alloy_825,32.7,7.79,4.462,243.8,6.55,36172.0,0.0084,low
duplex_2205,59.7,3.72,4.777,326.1,3.95,26783.0,0.1193,medium
stainless_316,99.7,6.14,3.937,475.3,4.6,41806.0,0.5078,high
stainless_316,35.0,4.08,1.584,300.3,3.75,41069.0,0.0422,low
alloy_825,42.9,4.83,3.444,371.8,0.83,42166.0,0.0169,low
stainless_316,92.2,8.93,2.194,253.1,1.74,24255.0,0.1698,medium
stainless_316,92.0,4.28,1.281,317.1,3.84,16681.0,0.3236,medium
alloy_825,84.1,6.24,4.206,35.5,2.07,39578.0,0.0485,low
alloy_825,89.4,6.9,0.202,127.2,0.87,22565.0,0.0068,low
carbon_steel,74.3,7.36,4.51,180.9,6.83,9172.0,1.717,severe
carbon_steel,45.2,6.58,2.313,236.2,7.86,42749.0,0.3687,medium
carbon_steel,54.6,3.55,3.19,22.8,6.45,44128.0,1.9423,severe
stainless_316,38.2,5.3,3.3,70.0,6.9,23315.0,0.0553,low
carbon_steel,110.8,6.35,4.477,138.4,2.31,3785.0,4.1282,severe
carbon_steel,78.3,3.98,3.187,485.8,7.7,19391.0,6.0298,severe
stainless_316,60.1,5.43,3.074,165.7,1.98,40177.0,0.0725,low
carbon_steel,66.2,3.68,0.343,241.0,7.64,45089.0,0.7085,high
stainless_316,114.7,3.93,2.597,98.0,7.96,10174.0,1.9765,severe
carbon_steel,35.3,5.68,0.759,305.4,5.84,3349.0,0.117,medium
carbon_steel,78.6,4.23,3.69,140.3,7.86,43868.0,4.9153,severe
alloy_825,70.6,6.62,2.566,103.5,4.77,19470.0,0.0216,low
carbon_steel,81.1,7.29,3.404,258.3,2.45,27088.0,1.538,severe
carbon_steel,21.8,7.9,0.218,2.8,3.78,48403.0,0.0165,low
stainless_316,107.2,4.6,0.433,3.8,4.95,3328.0,0.2282,medium
alloy_825,113.2,4.42,3.584,109.5,1.05,32416.0,0.2743,medium
carbon_steel,76.5,4.08,0.37,18.4,5.17,3705.0,0.6299,high
stainless_316,89.7,7.0,0.366,54.0,7.86,18773.0,0.062,low
carbon_steel,112.2,7.39,0.07,169.4,1.93,40191.0,0.3616,medium
carbon_steel,90.7,3.67,4.783,401.3,6.44,21674.0,11.4956,severe
stainless_316,35.3,8.65,3.69,286.0,7.31,49859.0,0.0449,low
stainless_316,77.6,3.79,1.773,256.3,7.58,27953.0,0.4084,medium
stainless_316,80.7,6.48,1.49,146.7,7.7,16058.0,0.1428,medium
stainless_316,62.4,7.4,1.755,465.9,4.41,11006.0,0.0457,low
duplex_2205,93.6,8.29,3.876,198.5,7.83,17526.0,0.2404,medium
stainless_316,113.4,7.43,3.31,43.5,6.18,18627.0,0.6077,high
carbon_steel,112.6,7.91,0.934,308.5,1.71,3436.0,1.8151,severe
alloy_825,65.1,5.37,0.879,56.9,4.08,18479.0,0.0092,low
carbon_steel,31.3,7.98,0.501,172.6,5.89,23212.0,0.0571,low
carbon_steel,118.5,3.94,3.305,253.7,2.36,36137.0,16.7016,severe
carbon_steel,103.9,8.42,3.824,437.1,5.3,32836.0,5.6634,severe
carbon_steel,32.5,6.51,1.333,246.8,5.5,35438.0,0.1277,medium
duplex_2205,112.1,8.0,0.115,351.1,1.72,418.0,0.0239,low
alloy_825,107.0,5.99,0.42,496.4,4.74,10883.0,0.0304,low
stainless_316,71.9,7.04,4.84,65.7,6.29,33084.0,0.1694,medium
carbon_steel,79.1,6.4,1.484,137.4,4.24,24199.0,0.7949,high
carbon_steel,59.9,7.52,3.848,197.3,0.59,266.0,0.5582,high
carbon_steel,25.5,3.95,3.127,210.9,0.57,40225.0,0.3827,medium
carbon_steel,53.5,3.83,1.916,205.5,3.18,38640.0,0.8174,high
stainless_316,100.3,4.86,1.036,453.8,7.45,27421.0,0.468,medium
stainless_316,20.5,4.38,0.616,357.0,2.22,3323.0,0.0074,low
stainless_316,53.3,8.29,3.079,304.0,5.26,38326.0,0.0615,low
carbon_steel,59.8,4.71,3.875,154.7,2.17,29186.0,1.0726,severe
duplex_2205,73.7,8.87,3.223,411.9,2.91,39098.0,0.0514,low
stainless_316,112.0,5.35,2.656,477.5,6.86,37587.0,0.9705,high
stainless_316,54.6,4.5,0.219,410.6,5.97,40150.0,0.0251,low
stainless_316,54.7,7.84,4.843,0.8,1.22,25900.0,0.0482,low
carbon_steel,93.8,7.12,3.996,318.2,3.72,7016.0,3.1253,severe
carbon_steel,65.2,6.24,1.471,25.6,0.72,33558.0,0.3271,medium
carbon_steel,42.5,6.55,4.9,128.8,4.11,31024.0,0.3783,medium
alloy_825,65.2,7.46,3.013,29.8,5.47,37113.0,0.0219,low
carbon_steel,34.1,4.76,2.916,301.9,1.39,8494.0,0.3732,medium
carbon_steel,37.6,8.98,3.743,343.3,2.67,9749.0,0.2312,medium
carbon_steel,69.8,8.86,4.061,57.2,3.48,44520.0,0.9833,high
carbon_steel,61.9,7.08,3.286,191.9,7.4,37499.0,0.9033,high
alloy_825,111.5,4.6,0.649,228.1,7.95,45411.0,0.1676,medium
stainless_316,56.2,7.24,1.698,184.5,0.84,37936.0,0.0261,low
carbon_steel,78.1,3.9,4.641,60.5,6.21,29858.0,6.2885,severe
carbon_steel,83.2,3.67,1.131,209.5,3.29,32707.0,2.3495,severe
carbon_steel,21.3,4.92,1.867,375.6,3.44,44456.0,0.1721,medium
carbon_steel,86.4,6.04,2.166,35.5,6.16,28940.0,1.4879,severe
carbon_steel,37.8,8.28,2.203,40.1,7.39,31620.0,0.2561,medium
carbon_steel,116.1,7.5,3.069,177.4,7.63,7824.0,7.4655,severe
carbon_steel,34.9,7.58,4.716,470.9,4.83,23696.0,0.32,medium
stainless_316,61.5,5.84,1.211,334.3,3.18,35820.0,0.0376,low
stainless_316,28.5,5.4,0.616,339.3,6.41,13547.0,0.0126,low
carbon_steel,119.7,5.54,0.995,181.0,2.38,10113.0,3.3861,severe
carbon_steel,70.2,8.93,4.436,296.8,4.73,15691.0,1.381,severe
stainless_316,79.5,3.72,3.233,5.1,3.19,12075.0,0.2686,medium
stainless_316,26.7,8.27,1.437,318.0,5.42,10746.0,0.0105,low
alloy_825,95.0,6.68,4.082,456.6,2.3,21243.0,0.0681,low
stainless_316,41.0,5.91,4.308,306.3,1.94,45392.0,0.0372,low
carbon_steel,109.8,7.49,4.234,436.8,7.39,25353.0,10.3179,severe
carbon_steel,40.5,6.18,4.595,362.0,1.26,9396.0,0.3262,medium
stainless_316,39.1,8.3,1.269,60.3,4.29,3849.0,0.0108,low
